Date,DCA Value
1999-03-31,100.00000000000001
1999-04-30,189.65233013469813
1999-06-30,508.5659690235323
1999-08-31,633.5115303662006
1999-09-30,988.242496571754
1999-11-30,2243.7701504250053
1999-12-31,3940.4522574121593
2000-01-31,5302.85108444534
2000-02-29,5408.631025994643
2000-03-31,3494.3574245416985
2000-05-31,871.6839160449731
2000-06-30,1468.335139951471
2000-07-31,1188.1193536600601
2000-08-31,1588.7091016661932
2000-10-31,1466.4079448171278
2000-11-30,674.469772722412
2001-01-31,1313.0004947029374
2001-02-28,808.9631244793837
2001-04-30,523.4580174274088
2001-05-31,540.5628695923426
2001-07-31,568.3329674954957
2001-08-31,537.7357888355982
2001-10-31,694.222055208591
2001-11-30,960.1056573638347
2001-12-31,1168.4382494788717
2002-01-31,1333.350866597949
2002-02-28,998.0622811634855
2002-04-30,762.9192972879273
2002-05-31,665.0193639322973
2002-07-31,503.70411989798987
2002-09-30,672.7871174091761
2002-10-31,1079.8399840932761
2002-12-31,1384.8542896765045
2003-01-31,1926.0429413834863
2003-02-28,1901.195301704862
2003-03-31,2434.437247347354
2003-04-30,2870.9448324436003
2003-06-30,3840.5983433533975
2003-07-31,4640.277018103577
2003-09-30,4992.013446809039
2003-10-31,6009.461900823225
2003-12-31,5855.717514874958
2004-03-31,6021.257150352788
2004-04-30,5561.814939759019
2004-06-30,5092.593049169638
2004-08-31,4268.19825589203
2004-09-30,5120.5801642282595
2004-11-30,8008.384948957552
2004-12-31,7594.074373489948
2005-01-31,9195.030209165478
2005-02-28,9077.507913993539
2005-03-31,7094.648333599293
2005-05-31,7390.632498858035
2005-06-30,7144.61499588384
2005-08-31,10366.429622085228
2005-09-30,9572.226159169597
2005-10-31,9752.112736862804
2005-11-30,10273.13632975185
2006-01-31,13364.889050701477
2006-02-28,12850.268607546901
2006-03-31,14810.071780837674
2006-05-31,13353.666311131108
2006-06-30,13896.5572891291
2006-07-31,11907.72356599051
2006-08-31,13260.327677004709
2006-10-31,17385.78417378034
2006-11-30,17370.863515018857
2007-01-31,17914.115799807667
2007-02-28,18647.337239943517
2007-04-30,16990.377347138394
2007-05-31,15655.041527279613
2007-07-31,11230.104759755119
2007-08-31,10755.554938355492
2007-10-31,15315.818768204048
2007-11-30,15748.683411912374
2007-12-31,15009.109490075723
2008-01-31,11688.103185891317
2008-02-29,10725.458266765068
2008-03-31,12001.158948509517
2008-04-30,14406.742918539989
2008-06-30,10719.048509728053
2008-07-31,10106.198570806075
2008-09-30,10077.353079368702
2008-10-31,6840.205949969046
2008-12-31,6526.6348199049735
2009-03-31,6119.8242722633195
2009-04-30,7053.595547622013
2009-06-30,9165.094729213955
2009-07-31,11123.73133539014
2009-08-31,11392.227011130866
2009-09-30,13246.933032328074
2009-11-30,16279.689316902623
2009-12-31,17558.54187851199
2010-03-31,16021.414951769091
2010-04-30,14604.43654030174
2010-06-30,14287.579448338494
2010-08-31,14922.505088464184
2010-09-30,16653.759202869092
2010-11-30,16760.561135461805
2010-12-31,16709.840453626843
2011-01-31,20755.16494322497
2011-02-28,23207.839463524262
2011-03-31,26265.627519784957
2011-05-31,28603.717194110923
2011-06-30,31892.810732353304
2011-08-31,24336.072345317247
2011-09-30,22695.349437839068
2011-10-31,26272.858508198267
2011-11-30,24668.70932749381
2012-01-31,23282.355295087407
2012-02-29,27462.300189642105
2012-04-30,28395.93967470557
